date,time,seconds
07/10/2016,12:11:54PM,3.11
06/10/2016,11:23:26PM,3.11
06/10/2016,12:31:13PM,3.11
05/10/2016,08:52:01PM,3.11
05/10/2016,07:46:04PM,3.11
11/10/2016,07:37:54AM,3.12
10/10/2016,09:44:26PM,3.12
10/10/2016,09:09:10PM,3.12
10/10/2016,09:08:50PM,3.12
10/10/2016,12:39:50AM,3.12
10/10/2016,12:36:40AM,3.12
09/10/2016,11:43:38PM,3.12
09/10/2016,04:35:11PM,3.12
08/10/2016,09:57:52PM,3.12
08/10/2016,09:00:17PM,3.12
08/10/2016,05:58:06PM,3.12
07/10/2016,08:16:57PM,3.12
07/10/2016,08:15:57PM,3.12
07/10/2016,08:00:47PM,3.12
05/10/2016,10:10:15PM,3.12
12/10/2016,09:44:02PM,3.12
12/10/2016,07:40:38PM,3.12
12/10/2016,07:39:53PM,3.12
12/10/2016,07:08:21PM,3.12
12/10/2016,02:37:35PM,3.12
12/10/2016,01:45:16PM,3.12
12/10/2016,01:41:02PM,3.12
12/10/2016,01:33:47PM,3.12
12/10/2016,01:23:38PM,3.12
12/10/2016,02:17:49AM,3.12
12/10/2016,02:13:26AM,3.12
10/10/2016,10:41:03PM,3.12
10/10/2016,09:46:15PM,3.12
10/10/2016,09:09:38PM,3.12
10/10/2016,05:55:09PM,3.12
10/10/2016,03:19:49PM,3.12
10/10/2016,12:40:03PM,3.12
10/10/2016,02:08:52AM,3.12
10/10/2016,01:06:09AM,3.12
10/10/2016,01:00:50AM,3.12
10/10/2016,12:57:35AM,3.12
10/10/2016,12:54:28AM,3.12
09/10/2016,11:42:15PM,3.12
09/10/2016,01:36:09AM,3.12
08/10/2016,05:53:25PM,3.12
07/10/2016,10:48:37PM,3.12
07/10/2016,09:02:02PM,3.12
07/10/2016,08:43:35PM,3.12
07/10/2016,08:36:17PM,3.12
07/10/2016,08:17:05PM,3.12
07/10/2016,08:11:22PM,3.12
07/10/2016,07:57:48PM,3.12
07/10/2016,07:54:15PM,3.12
06/10/2016,02:42:58PM,3.12
05/10/2016,10:20:41PM,3.12
05/10/2016,10:09:32PM,3.12
12/10/2016,12:58:45PM,3.13
12/10/2016,11:25:07AM,3.13
10/10/2016,02:44:37PM,3.13
10/10/2016,12:40:36AM,3.13
10/10/2016,12:39:58AM,3.13
09/10/2016,02:15:13AM,3.13
08/10/2016,08:14:41PM,3.13
08/10/2016,05:18:21PM,3.13
07/10/2016,08:36:07PM,3.13
07/10/2016,08:03:14PM,3.13
13/10/2016,03:54:46AM,3.13
13/10/2016,03:38:57AM,3.13
12/10/2016,07:53:17PM,3.13
12/10/2016,07:43:20PM,3.13
12/10/2016,07:35:52PM,3.13
12/10/2016,06:58:17PM,3.13
12/10/2016,03:02:50PM,3.13
12/10/2016,03:02:40PM,3.13
12/10/2016,03:00:36PM,3.13
12/10/2016,02:37:58PM,3.13
12/10/2016,01:40:15PM,3.13
12/10/2016,01:38:13PM,3.13
12/10/2016,01:26:11PM,3.13
12/10/2016,12:50:52PM,3.13
12/10/2016,12:42:59PM,3.13
12/10/2016,11:27:39AM,3.13
10/10/2016,09:44:22PM,3.13
10/10/2016,07:39:01PM,3.13
10/10/2016,06:17:03PM,3.13
10/10/2016,05:53:50PM,3.13
10/10/2016,05:04:20PM,3.13
10/10/2016,03:24:47PM,3.13
10/10/2016,12:40:51PM,3.13
10/10/2016,12:40:12PM,3.13
10/10/2016,12:40:08PM,3.13
10/10/2016,01:03:38AM,3.13
10/10/2016,01:00:11AM,3.13
10/10/2016,12:57:05AM,3.13
10/10/2016,12:55:42AM,3.13
10/10/2016,12:54:54AM,3.13
09/10/2016,04:35:45PM,3.13
09/10/2016,04:34:31PM,3.13
09/10/2016,04:09:04PM,3.13
09/10/2016,02:30:07PM,3.13
09/10/2016,01:58:54AM,3.13
09/10/2016,01:06:00AM,3.13
09/10/2016,12:59:41AM,3.13
08/10/2016,11:59:14PM,3.13
08/10/2016,06:13:04PM,3.13
08/10/2016,06:12:43PM,3.13
08/10/2016,05:57:59PM,3.13
08/10/2016,05:56:30PM,3.13
08/10/2016,05:56:00PM,3.13
08/10/2016,05:52:55PM,3.13
08/10/2016,12:40:28PM,3.13
07/10/2016,09:15:34PM,3.13
07/10/2016,08:46:01PM,3.13
07/10/2016,08:42:14PM,3.13
07/10/2016,08:38:06PM,3.13
07/10/2016,08:11:17PM,3.13
07/10/2016,07:59:00PM,3.13
07/10/2016,07:58:44PM,3.13
07/10/2016,11:33:10AM,3.13
07/10/2016,11:17:17AM,3.13
07/10/2016,02:00:35AM,3.13
06/10/2016,12:32:34PM,3.13
05/10/2016,10:13:25PM,3.13
12/10/2016,03:01:07PM,3.14
10/10/2016,09:10:10PM,3.14
09/10/2016,05:07:25PM,3.14
09/10/2016,04:32:57PM,3.14
08/10/2016,06:15:10PM,3.14
08/10/2016,05:56:43PM,3.14
08/10/2016,05:18:31PM,3.14
07/10/2016,09:12:10PM,3.14
07/10/2016,08:16:14PM,3.14
07/10/2016,08:16:05PM,3.14
07/10/2016,08:15:46PM,3.14
07/10/2016,08:14:51PM,3.14
12/10/2016,07:43:31PM,3.14
12/10/2016,02:37:49PM,3.14
12/10/2016,01:44:17PM,3.14
12/10/2016,01:40:08PM,3.14
12/10/2016,01:38:59PM,3.14
12/10/2016,01:32:50PM,3.14
12/10/2016,01:26:05PM,3.14
12/10/2016,11:22:27AM,3.14
12/10/2016,10:00:04AM,3.14
12/10/2016,08:02:05AM,3.14
12/10/2016,02:17:42AM,3.14
12/10/2016,02:17:27AM,3.14
12/10/2016,02:13:46AM,3.14
11/10/2016,07:38:07AM,3.14
10/10/2016,09:45:54PM,3.14
10/10/2016,05:56:07PM,3.14
10/10/2016,05:54:19PM,3.14
10/10/2016,04:47:54PM,3.14
10/10/2016,03:25:02PM,3.14
10/10/2016,12:55:09PM,3.14
10/10/2016,12:40:46PM,3.14
10/10/2016,12:40:18PM,3.14
10/10/2016,01:56:28AM,3.14
10/10/2016,01:12:21AM,3.14
10/10/2016,01:10:57AM,3.14
10/10/2016,01:03:56AM,3.14
10/10/2016,01:01:31AM,3.14
10/10/2016,01:01:02AM,3.14
10/10/2016,01:00:22AM,3.14
10/10/2016,12:59:43AM,3.14
10/10/2016,12:59:30AM,3.14
10/10/2016,12:57:46AM,3.14
09/10/2016,11:42:20PM,3.14
09/10/2016,04:35:40PM,3.14
09/10/2016,04:33:23PM,3.14
09/10/2016,04:29:22PM,3.14
09/10/2016,01:44:24PM,3.14
09/10/2016,01:43:51PM,3.14
09/10/2016,01:43:48PM,3.14
09/10/2016,02:14:43AM,3.14
09/10/2016,02:00:32AM,3.14
09/10/2016,01:06:59AM,3.14
09/10/2016,01:06:36AM,3.14
09/10/2016,01:04:09AM,3.14
08/10/2016,10:06:36PM,3.14
08/10/2016,06:41:31PM,3.14
08/10/2016,06:41:21PM,3.14
08/10/2016,05:58:28PM,3.14
08/10/2016,05:57:47PM,3.14
08/10/2016,05:57:36PM,3.14
08/10/2016,05:53:34PM,3.14
08/10/2016,05:53:29PM,3.14
08/10/2016,05:51:58PM,3.14
08/10/2016,05:51:23PM,3.14
08/10/2016,12:41:00PM,3.14
07/10/2016,08:43:40PM,3.14
07/10/2016,08:37:14PM,3.14
07/10/2016,08:36:28PM,3.14
07/10/2016,08:36:12PM,3.14
07/10/2016,08:15:31PM,3.14
07/10/2016,08:15:26PM,3.14
07/10/2016,08:11:06PM,3.14
07/10/2016,08:02:28PM,3.14
07/10/2016,12:11:57PM,3.14
07/10/2016,02:00:26AM,3.14
06/10/2016,02:24:56PM,3.14
06/10/2016,02:01:34PM,3.14
05/10/2016,10:10:20PM,3.14
05/10/2016,08:52:19PM,3.14
12/10/2016,02:39:56PM,3.15
12/10/2016,01:27:20PM,3.15
12/10/2016,03:05:02PM,3.15
12/10/2016,02:41:55PM,3.15
12/10/2016,01:42:28PM,3.15
12/10/2016,01:41:48PM,3.15
10/10/2016,02:45:55PM,3.15
10/10/2016,12:58:25AM,3.15
09/10/2016,04:08:56PM,3.15
09/10/2016,01:05:45AM,3.15
08/10/2016,05:54:57PM,3.15
07/10/2016,11:33:23AM,3.15
08/10/2016,09:00:25PM,3.59
10/10/2016,01:02:40AM,6.21
10/10/2016,12:54:48AM,6.21
12/10/2016,04:48:05PM,6.28
06/10/2016,11:13:42PM,6.29
08/10/2016,11:08:07PM,6.29
06/10/2016,05:30:15PM,6.29
05/10/2016,08:54:13PM,6.29
09/10/2016,12:59:08AM,6.3
07/10/2016,08:00:57PM,6.3
10/10/2016,07:52:40PM,6.3
10/10/2016,01:02:47AM,6.3
10/10/2016,12:56:28AM,6.3
10/10/2016,12:55:47AM,6.3
09/10/2016,01:58:45AM,6.3
08/10/2016,08:11:54PM,6.3
07/10/2016,08:03:53PM,6.3
07/10/2016,08:01:30PM,6.3
06/10/2016,11:14:58PM,6.3
06/10/2016,02:40:15PM,6.3
05/10/2016,10:10:45PM,6.3
05/10/2016,07:46:14PM,6.3
11/10/2016,12:07:03AM,6.31
12/10/2016,01:44:46PM,6.31
12/10/2016,02:17:09AM,6.31
10/10/2016,12:53:04AM,6.31
07/10/2016,08:37:00PM,6.31
07/10/2016,08:04:24PM,6.31
05/10/2016,08:51:31PM,6.31
07/10/2016,08:00:37PM,6.32
07/10/2016,08:00:27PM,6.32
12/10/2016,04:04:27PM,6.32
12/10/2016,01:37:54PM,6.32
10/10/2016,01:13:46AM,6.32
09/10/2016,04:34:45PM,6.32
09/10/2016,04:09:13PM,6.32
09/10/2016,02:14:48AM,6.32
08/10/2016,07:26:50PM,6.32
08/10/2016,05:57:16PM,6.32
08/10/2016,05:56:23PM,6.32
08/10/2016,05:55:13PM,6.32
07/10/2016,10:49:04PM,6.32
07/10/2016,09:14:30PM,6.32
12/10/2016,02:39:19PM,6.33
08/10/2016,05:57:07PM,6.33
07/10/2016,08:03:46PM,6.33
07/10/2016,08:03:37PM,6.33
07/10/2016,04:59:41AM,6.33
05/10/2016,10:16:29PM,6.33
12/10/2016,09:46:17PM,6.33
12/10/2016,03:33:50PM,6.33
12/10/2016,02:40:58PM,6.33
12/10/2016,02:40:39PM,6.33
12/10/2016,01:44:59PM,6.33
12/10/2016,01:35:29PM,6.33
12/10/2016,12:28:49PM,6.33
12/10/2016,11:22:03AM,6.33
10/10/2016,03:24:39PM,6.33
10/10/2016,01:02:55AM,6.33
10/10/2016,01:01:50AM,6.33
09/10/2016,06:06:23PM,6.33
09/10/2016,02:15:18AM,6.33
08/10/2016,05:55:28PM,6.33
08/10/2016,05:53:05PM,6.33
07/10/2016,08:38:33PM,6.33
07/10/2016,08:13:15PM,6.33
07/10/2016,08:01:42PM,6.33
07/10/2016,11:11:20AM,6.33
06/10/2016,02:16:09PM,6.33
06/10/2016,12:32:48PM,6.33
09/10/2016,05:07:35PM,6.34
09/10/2016,04:09:54PM,6.34
06/10/2016,11:14:26PM,6.34
12/10/2016,03:34:20PM,6.34
12/10/2016,02:42:18PM,6.34
12/10/2016,02:40:26PM,6.34
12/10/2016,02:39:10PM,6.34
12/10/2016,01:45:07PM,6.34
12/10/2016,01:33:16PM,6.34
12/10/2016,02:04:28AM,6.34
10/10/2016,09:45:20PM,6.34
10/10/2016,06:16:51PM,6.34
10/10/2016,03:24:54PM,6.34
10/10/2016,01:15:03AM,6.34
10/10/2016,01:13:55AM,6.34
10/10/2016,01:13:36AM,6.34
10/10/2016,01:09:47AM,6.34
10/10/2016,12:54:41AM,6.34
10/10/2016,12:53:44AM,6.34
09/10/2016,04:43:56PM,6.34
09/10/2016,04:10:44PM,6.34
08/10/2016,12:40:38PM,6.34
06/10/2016,02:53:49PM,6.34
10/10/2016,01:02:11AM,9.38
10/10/2016,12:55:54AM,9.39
07/10/2016,08:16:30PM,9.46
10/10/2016,12:59:46AM,9.46
10/10/2016,01:09:53AM,9.47
10/10/2016,01:02:21AM,9.47
09/10/2016,04:34:34PM,9.49
09/10/2016,02:29:56PM,9.49
10/10/2016,01:02:31AM,9.49
12/10/2016,01:37:41PM,9.5
11/10/2016,08:47:36AM,9.5
07/10/2016,07:54:05PM,9.5
05/10/2016,08:52:06PM,9.5
07/10/2016,08:00:16PM,9.51
12/10/2016,01:36:43PM,9.51
12/10/2016,01:36:25PM,9.51
10/10/2016,12:56:35AM,9.51
10/10/2016,12:56:14AM,9.51
07/10/2016,08:02:05PM,9.51
07/10/2016,07:55:26PM,9.51
07/10/2016,11:16:37AM,9.51
09/10/2016,01:06:13AM,9.52
08/10/2016,05:55:42PM,9.52
07/10/2016,08:04:14PM,9.52
07/10/2016,08:03:21PM,9.52
06/10/2016,11:14:43PM,9.52
12/10/2016,03:02:03PM,9.52
09/10/2016,11:41:57PM,9.52
07/10/2016,08:36:34PM,9.52
10/10/2016,05:54:23PM,9.53
09/10/2016,04:10:55PM,9.53
07/10/2016,10:48:17PM,9.53
07/10/2016,08:04:02PM,9.53
07/10/2016,07:55:10PM,9.53
12/10/2016,07:40:05PM,9.53
12/10/2016,03:02:14PM,9.53
12/10/2016,03:01:45PM,9.53
12/10/2016,02:41:44PM,9.53
12/10/2016,11:22:11AM,9.53
12/10/2016,02:17:31AM,9.53
10/10/2016,12:41:11PM,9.53
10/10/2016,01:02:02AM,9.53
09/10/2016,04:34:55PM,9.53
07/10/2016,08:04:56PM,9.53
07/10/2016,08:00:02PM,9.53
06/10/2016,02:40:03PM,9.53
12/10/2016,03:00:49PM,9.54
09/10/2016,04:33:05PM,9.54
07/10/2016,08:15:08PM,9.54
09/10/2016,04:43:43PM,9.54
09/10/2016,04:35:30PM,9.54
09/10/2016,01:06:44AM,9.54
07/10/2016,10:49:13PM,9.54
07/10/2016,11:16:47AM,12.61
05/10/2016,08:01:19PM,12.68
05/10/2016,07:46:22PM,12.68
09/10/2016,04:09:40PM,12.69
07/10/2016,01:59:26AM,12.69
09/10/2016,02:14:55AM,12.7
13/10/2016,03:53:10AM,12.71
05/10/2016,08:51:47PM,12.71
05/10/2016,08:28:06PM,12.71
08/10/2016,05:56:48PM,12.72
12/10/2016,01:35:16PM,12.72
07/10/2016,07:53:40PM,12.72
09/10/2016,05:07:44PM,12.73
07/10/2016,08:14:36PM,12.73
07/10/2016,08:11:26PM,12.73
12/10/2016,01:44:30PM,12.73
12/10/2016,01:26:25PM,12.73
09/10/2016,04:09:24PM,12.74
05/10/2016,10:12:03PM,12.74
07/10/2016,08:05:49PM,15.91
08/10/2016,05:58:10PM,15.92
12/10/2016,02:42:00PM,15.92
07/10/2016,08:11:42PM,15.92
10/10/2016,12:40:55PM,15.93
05/10/2016,10:16:48PM,15.93
12/10/2016,07:40:18PM,15.93
12/10/2016,03:03:17PM,15.93
12/10/2016,03:02:59PM,15.93
08/10/2016,05:59:08PM,15.93
07/10/2016,07:56:28PM,15.93
07/10/2016,07:54:30PM,19.1
07/10/2016,05:00:09AM,19.1
07/10/2016,08:01:10PM,19.11
09/10/2016,04:10:19PM,19.12
12/10/2016,02:40:05PM,19.12
08/10/2016,05:18:52PM,19.12
07/10/2016,09:04:05PM,19.13
10/10/2016,12:52:25AM,19.13
09/10/2016,07:00:50PM,25.5
06/10/2016,12:32:08PM,25.5
12/10/2016,02:39:26PM,28.54
12/10/2016,03:03:36PM,28.7
12/10/2016,02:41:08PM,28.72
11/10/2016,08:29:17PM,31.9
06/10/2016,12:31:32PM,35.08
07/10/2016,07:59:15PM,38.28
08/10/2016,07:26:10PM,38.3
07/10/2016,08:05:10PM,38.31
11/10/2016,08:47:46AM,41.47
06/10/2016,11:19:24PM,41.47
09/10/2016,04:33:38PM,41.49
05/10/2016,07:47:09PM,47.89
12/10/2016,07:40:42PM,54.27
